Complaint_id,Complaints,Category,Intent
C000049,This app is scrap. When I am out of data it is frustrating to recharge from it making me wonder the purpose of it in the first place since I need to either use WiFi or buy atleast 100mb to use it.,Billing & VAS,unexplained_deduction
C000050,"Mine is showing authorization failed every time I tried to transfer and recharge and my line was disconnected, stating my NIN registration status is invalid.",SIM Services,sim_barred_nin
C000051,is very good and hundred percent sure is no fake. no transportation charge no network problem,Network Quality,total_outage
C000052,"Fake and expensive voice and data packages! So useless app to me, may be work upon that issue, you get us the old voice bundles but if not, no need for this fake stuff, and immediately an unknown caller pretending to be customer care called demanding my SIM OTP.",Fraud,reported_scam
C000053,"Can't even get pass the main page, take me to the otp page stop trying to auto verify, I'm trying to link my mifi sim to the app and I don't want to remove my phone sim to very this, fix this...I get the otp but I can't use it cus it won't get pass the stupid auto-verification screen. Fix this please",Billing & VAS,forced_subscription
C000054,"I think I'm feed up of seeing unused data bundle of 17 gb and u can't use it. It should be wise I uninstalled this app since it display 17gb and u can't use it. Thank u, then I received a suspicious phishing text claiming my bank account is blocked via this line.",Fraud,reported_scam
C000055,"this bank has one of the worst ussd service their network is always bad and they will still deduct your money for every time you use the ussd service, and a scam message came in offering fake lottery winnings with a malicious link.",Fraud,reported_scam
C000056,why does 9mobile mast in enugu always turn off once nepa takes light?,Network Quality,total_outage
C000057,Why does Glo mast in Ibadan always turn off once NEPA takes light?,Network Quality,total_outage
C000058,"this app is so useless, trying to renew my data now it's just rolling not even going at all. so slow and a waste of time",Mobile Data,slow_internet
C000059,"Unwanted loan, I wanted to borrow a loan of 10k but a loan of 63000k was credited into my account, immediately I refunded the 63000k to palmpay and don't expect me to pay any interest on what I did not spent or borrow pls take note and do the needful because the interest is still showing in my account if not I will uninstall the app from my phone, I tried to call costumer service number in other to get them informed but all proved abortive pls erase the amount of interest showing in my account , line suddenly barred from making calls with message requesting NIN update.",SIM Services,sim_barred_nin
C000060,"""Recharge and get 100% bonus to call only Airtel network and valid for 48 hours"". To me this doesn't make sense. Allow the subscriber to call ALL networks in Nigeria and until the bonus is exhausted. I have never been able to make use of the bonus because of your stringent T & C. So, of what use is this your bonus, but fraudsters are using this network line to send fake credit alerts to unsuspecting people.",Fraud,reported_scam
C000061,Internet speeds less than what we are paying for after canceling cable tv service,Mobile Data,abnormal_data_drain
C000062,you guys biggest problem is that you don't return pending transfers and airtime and I can't even ever think of purchasing data subscription from you guys cause it never comes through and the money will be deducted and my voice call keeps muting and dropping due to unstable cell coverage.,Network Quality,frequent_call_drops
C000063,This update keep on closing when I wanted to check my data balance,Billing & VAS,unexplained_deduction
C000064,"I have more than one Airtel Sim card, and non of them are in my android phone, and this app is supposed to enable me manage all my Airtel Numbers, but You guys set this auto verify thing when requesting for OTP, so you're telling me I have to insert every single one of my Airtel Sim card in this phone just to set it up...? That is just so wrong and annoying. FIX IT, or I'm never using your app. I should be able to manually enter OTP received, whether the sim is on my phone or not, but fraudsters are using this network line to send fake credit alerts to unsuspecting people.",Fraud,reported_scam
C000065,"This very app doesn't on mtn line why? Trying to log in after downloading the app keep telling me that, something went wrong i should check my network setting and try again, of which i have enough data, please investigate this line because con artists are using it to impersonate telecom agents.",Fraud,reported_scam
C000066,I dislike this app so much.I wanted to recharge from my bank with 1500 but no data and i was debited .,Billing & VAS,unexplained_deduction
C000067,"Access Bank work on your network issues, give me back my money pls..... My reviews are zero The worse internet bank app ever The five star reviews here are all fake Pls reverse my money back to me I'll close my bank acct there ASAP, but I cannot make calls because customer care barred my SIM without prior notice.",SIM Services,sim_barred_nin
C000068,The worst thing you can do to your self is downloading this mtn app they are nothing but criminals... They put up a different data plan and when you subscribe they give you something far less from what is on the app... That is stealing ... I will advise everyone to delete this app it is a waste of space ...,Mobile Data,abnormal_data_drain
C000069,"It's good as you can access it with minimal or no data charges at all,also it provide gifts of money but there other problems I request you fix ,I will not say it just contact me inbox and my voice call keeps muting and dropping due to unstable cell coverage.",Network Quality,frequent_call_drops
C000070,Airtel data no dey browse since morning for Kano. Full 4G bar but nothing dey load.,SIM Services,sim_barred_nin
C000071,"I like palmpay so much smart and easy transactions, but there was this one time last week I sent money from palmpay to another bank I got debited but didn't get credited, I tried reporting the transaction, calling customer care but didn't still get refunded till now , now apart from this initial money that wasn't reversed someone sent me 5000 the transaction was processed successful from the person's end but I didn't get credited and I tried complaining to customer service, but my line was barred despite submitting my NIN details for verification last week.",SIM Services,sim_barred_nin
C000072,"They are thief when you recharge through this app its won't be credited and your money wil be deducted from your bank account,i have made a recharge through the app over 24hrs and my money is deducted from my bank account and am yet to receive airtime,stil there customer service is very poor this days they won't attend to you. They are becoming worse.",Billing & VAS,unexplained_deduction
C000073,"palmpay is a good app i have been enjoying theirs service till now but in their transaction history need to be showing what you balance was after debiting and they need a customer service call line to attend to people i have had missing money that have not been resolved till now and they are not quite given me the solution please work on it and all connectivity is dead, phone is just searching for network continuously.",Network Quality,total_outage
C000074,"I've been trying to buy a data bundle since this add is too hard to use To buy different subscriptions can't be accessed Oy just the ones you've done with the app by dialing the *131# The app is not flexible I would like the different time frames of subscriptions to be shown like daily,monthly,2-3month and others to be Frank the airtel app is just easier to use I love mtn buh In terms of their app services it hate them hope to see my issue resolved",Mobile Data,abnormal_data_drain
C000075,you guys are just being unnecessarily wicked. you keep increasing data plan and changing plans,Mobile Data,abnormal_data_drain
C000076,"Look i saw alot of bad reviews before downloading this app but i decided to give it the benefit of the doubt because its airtel but now i just feel like the reviews are acurate i havent recieved my OTP let alone my 1GB please airtel i dont expect this from you guys please make adjustments to this app, please investigate this line because con artists are using it to impersonate telecom agents.",Fraud,reported_scam
C000077,"I updated this app, and for the past two days, I've not been able to open it, it just loads and tell me ""couldn't load your item"", like I've uninstalled the app and reinstalled it, but still the same thing, and no!!! It's not my network, my network is fine, because that's what I'm using to upload this rating, and the worst part is that anytime I try to use their website, it automatically links me back to the app, and then the cycle continues.....so frustrating You guys should fix your app o, got a fraudulent call asking me to pay money to unblock my phone line.",Fraud,reported_scam
C000078,"Just downloaded the app after researching that I can share data with the app, a bit puzzled that the me2u airtime transfers pge just shows ""No data to show''☹️kinda disappointed that what's online isn't on the app 🤷🏿‍♂️, and a scam message came in offering fake lottery winnings with a malicious link.",Fraud,reported_scam
C000079,Slow download and upload speeds,Mobile Data,slow_internet
C000080,"Jumia Kenya = BIG SCAM. Deliver defective products, never respond to emails and simply disconnect when customer care is contacted!!",Fraud,reported_scam
C000081,it's the worst app to ever exist .. do not download this app .. instead do subscription from your usd .. most useless app ever ... I'm moving to Airtel next month.. stupid app .. and please don't send me a mail after I post my review,Mobile Data,slow_internet
C000082,"This app developers are crazy, what's the use of the app when you can't see your line's information like sms data share remaining, but I cannot make calls because customer care barred my SIM without prior notice.",SIM Services,sim_barred_nin
C000083,"It load for longer period is not like the formal app and you guy should create options of password in logins instead of OTP. Some of my device like modern, tracker and CCTV camera they cannot receive otp, I may want to login to check data usage Please fix that. Thanks",Mobile Data,abnormal_data_drain
C000084,"If there was a rating less than 1 star that would be appropriate It's probably the worst app I've ever downloaded and I've downloaded some bad apps It's slow, bad connection, horrible user interface and very unresponsive It consistently gets worse with every update and it's very frustrating because use MTN has my main sim and I also have a router, subscribing for a plan is by far the worst experience on any internet service provider I've used or seen and it's so disgraceful for MTN",Mobile Data,slow_internet
C000085,will I get any free Data for downloading this App?,Mobile Data,abnormal_data_drain
C000086,"I was sent money twice and these two times I saw a credit alert of the money but the money did not enter my account, like my balance did not change...please help me resolve this issue, thank you, and I was sent a fraudulent SMS asking for my USSD transaction pin.",Fraud,reported_scam
C000087,"This is the second time I am downloading this app but I have not been able to open it. It is saying ""you are not connected to the internet."" My question is, is it possible to download or comment here offline if it saying I am not connected to the internet? I think Airtel is becoming something else. Last Year's poor service was nothing to write home about since I started using Airtel 2008. I have always tell other network subscribers Airtel is the best Telecom company in Nigeria but not again now and all connectivity is dead, phone is just searching for network continuously.",Network Quality,total_outage
C000088,So annoying app. You will recharge your line and you can't see the credit on the app. Which type of thing is that?,Billing & VAS,unexplained_deduction
C000089,"My network connection is on, but it's not connecting. It just keep loading and loading and will not open. Don't know why . Pls resolve this issue, but my phone has been showing 'Emergency Calls Only' and completely zero signal bars all day.",Network Quality,total_outage
C000090,Its a shame to see you guys debiting me for service you didn't render. I funded my wallet today with #2000 and it was used to recharge my prepaid meter via utility but I was debited #1000 twice without any token sent to me up till now. I contacted your customer care which promised to send me the token tonight but the issue is yet to be solved and I cannot complete one single voice call without the network cutting off suddenly.,Network Quality,frequent_call_drops
C000091,"At first I loved this app and I have used for almost a year now. But now I hate it. Why put prizes that can't be won. TBH who has won the 100GB prize Lfr. I make sure I spin the wheel but it's always sms and minutes. When shall it ever be data. Besides that, I don't even know how to manage my data usage. After loading my 1gb 2hrs later it's done yet I don't even use data that frequent. 😒😒, but every outgoing call disconnects immediately the other party picks up.",Network Quality,frequent_call_drops
C000092,"I don't like this version Very annoying and confusing I can't recharge 100 or #200 To bad I can't even see my transaction history and my balance, but every outgoing call disconnects immediately the other party picks up.",Network Quality,frequent_call_drops
C000093,"Verryyyyy bad app. Poor network connection, keeps refreshing and messing up. I tried buying data for 4 straight hours, still it didn't go through. I've uninstalled the app sha Na to buy GLO sim now.🚶🏾‍♀️🚶🏾‍♀️🚶🏾‍♀️ Nonsense and ingredients.😑 Most yeyeic network 😡😡 Na old name una get now. Mtcheeeeeeewwwwwww 😑😡",Mobile Data,abnormal_data_drain
C000094,"Who said your late entry problems stops when you buy a starlink? You know most people living in 3rd rate countries like Nigeria (no offence guys), Kenya, south Africa and possibly Ghana come out and be like ""I missed the Mint because my network was too slow bro"" ""I need to",Mobile Data,slow_internet
C000095,"Although this app is a good app nd it's very useful for me but once my okcard has bee activated it started misbehaving It credit me 500 which I could not use finish before my due date but a day to the due date I couldn't make any transaction or repay my remaining funds.... So I think of uninstalling the app maybe when I reinstalled it back it I will be to refund the money since have receiving call maybe from their customer care concerning the okcard What should I do, but I cannot make calls because customer care barred my SIM without prior notice.",SIM Services,sim_barred_nin
C000096,"Worst bankingapp ever used. I experienced something unbelievable with this app. Money sent wasn't received neither was it reversed. Made complaints still nothing and also find a way to add a double confirmation while trying to recharge or biu data for a particular number so someone doesn't end up recharging a wrong number. It has happened to me countless times, but I cannot make calls because customer care barred my SIM without prior notice.",SIM Services,sim_barred_nin
C000097,"The worst app I've ever used! So slow to load, no customer care contact, even the ones there are AI and almost useless. I'd have deleted the app a long time ago, but now I see no use for the app. It looks poorly maintained. MTN Nigeria, do better! This is poor!",Mobile Data,slow_internet
C000098,"It's a good App no doubt, fast, reliable and easy to use. But the problem is updating the App everyday before usage. I uses 41mb of data to update before opening the App, else no transaction for that day. I made several complains still no solution, and a scam message came in offering fake lottery winnings with a malicious link.",Fraud,reported_scam
C000099,"Palmpay customer services is irritating and awful, this app is scam and fraudulent, Imagine me paying 80k for a loan of 40k that is extra 40k for absolutely nothing. i seriously recommend Google to delist palmpay and stop recommending it to innocent people out there Palmpay is fraudulent and not making effort to correct it's staff who are perpetrating this fraud.",Fraud,reported_scam
C000100,"Terrible difficulty in opening app, problem with the app recognizing SIM. The app is just boring looking. The Mymtn app is far better.",SIM Services,sim_barred_nin
C000101,To be sincere I recommend those that are ready to not make it in life to use this app ..this app is the worst internet banking app I've ever used in my entire life ..this is one of the app that make people lose thier money pls I beg u guys to not download this app they will freeze your account when they see you have a lot ot money inside and they will not unfreeze it and then before you know it your money is gone ..they are all scam I'm begging u guys never use opay they are deceiving you guys,Fraud,reported_scam
C000102,"your network is the most annoying network I'm using why will you people keep disconnecting me from the internet when I have low data... it is very annoying and inappropriate... immediately my reaches 500mb sometimes even 1gb I won't be able to browse again. it take a lot of switching off and on of data connection b4 I can start browsing again... and it even far worse when the data is 200mb below. please stop those nonsense, but I cannot make calls because customer care barred my SIM without prior notice.",SIM Services,sim_barred_nin
C000103,"It is very disappointing as I always praised jumia and even recommend it to others just for it to fail me badly. The network is crazy, it won't even budge and later show sorry couldn't load your content, it still bothers me that such a highly rated app will be this poor in common NETWORK, but I cannot make calls because customer care barred my SIM without prior notice.",SIM Services,sim_barred_nin
C000104,"This is a very terrible app especially at this moment. Functions/buttons don't work, slow response time, basic design/poor user friendly. I cannot even process data payment. I dislike this app so much and far prefer the former",Mobile Data,slow_internet
C000105,"Can't recharge through the app. No matter how many times I put my bank name. Please, Mtn, is Mifi considered a broadband?",Billing & VAS,unexplained_deduction
C000106,Browsing speed on 9mobile is very poor around Calabar. Videos are constantly buffering.,Mobile Data,slow_internet
C000107,"Since i started using this apps,its very nice but recently the charges is so high.even there was a time i requested for a ride,i was connected,the rider says was coming,i waited long without the rider calling me or picking me up. After waiting for long,i cancelled the order and i was requested to pay 50naira that i did not use even after using my data to request for the oride nd still wait for it to come. Pls you need to do something to this. Its annoying and the SIM was blocked with an error message saying NIN linkage is required immediately.",SIM Services,sim_barred_nin
C000108,"ur network is very bad and poor. I sent 30k to my opay account from dis palmpay ,I was told to wait for 24hrs,more Dan 24hrs now still on processing, so annoying, is dis a scam app or wat,confused",Fraud,reported_scam
C000109,"We graduated from session continuously getting to your app crashing. I can't use your app on my mobile device, can't even view my data balance. The app is becoming useless and service keeps disrupting my activities",Billing & VAS,unexplained_deduction
C000110,"Dey deduct my money whenever I buy data, without returning it back, line suddenly barred from making calls with message requesting NIN update.",SIM Services,sim_barred_nin
C000111,"I don't like this network, it run data so fast, i just subscribed on Saturday 29 and it finished, line suddenly barred from making calls with message requesting NIN update.",SIM Services,sim_barred_nin
C000112,this is a very stupid app!!... i would never recommend this for anyone cause these guys are scam. At first i thought they had d best service but after they made me use my money in referring without rewarding me i realized i had been duped. a star rating is too much for this app i wish they had less stars... SCAMMERS!!!,Fraud,reported_scam
C000113,"What is happening to zenith bank, i want to make transfer and the app said that i have insufficient funds, but when i buy recharge card it will go through. Why can't i use my funds in your app zenith bank, call ended unexpectedly keeps showing every time I dial any line.",Network Quality,frequent_call_drops
C000114,"This app has turn into something else....why those it keep on loading and loading and loading for ever ....this upgrade is not good at all...my phone 4G my sim is 4G . So which strong network tldo want to connect to before get access to my Opay account...Gosh😡😡😡🤬😠😠🤬😡🤬😡, and a scam message came in offering fake lottery winnings with a malicious link.",Fraud,reported_scam
C000115,"At first when I downloaded this app everything was running smooth not until sometime in this month I made a transfer I got debited it showed successful but the person didn't receive it and they didn't refund after so many days plus I bought data on the app it failed but yet no refund and the customer service isn't helping at all please look into the matter thank you, kindly unbar my SIM line, I have already updated my NIN credentials at your center.",SIM Services,sim_barred_nin
C000116,"Airtel I don't really know what's going on with this network. I just don't know where to pour out my pain that why I throw them here. Airtel data subscription is very bad 😞😞 so anoing. Can you imagine 3g subscription won't last up to three days for just browsing the net and chat? Honestly I am not happy with Airtel at all. I change my first sim card thinking Is the problem, but the data consumption continue. I didn't know until I try another network. Fix this please, line suddenly barred from making calls with message requesting NIN update.",SIM Services,sim_barred_nin
C000117,"Palmpay is a very good, fast and smooth online banking Wallet but its problem is that, if a customer isn't within where there's no internet, he/she can't enjoy their services with USSD as an alternative means as it will continue to tell you that ""you have insufficient airtime"" It will be 👍🏽 if it introduce the use of efficient USSD code, but I cannot make calls because customer care barred my SIM without prior notice.",SIM Services,sim_barred_nin
C000118,Comcast internet-Price keeps changing,Mobile Data,abnormal_data_drain
C000119,"Why does it always show me to use Airtel data yet I use only Airtel in my phone if u don't change it then stop wasting our time cuz it pisses me off if it's Internet then let it connect don't waste our time and una just auto-renewed caller tune without my consent, kindly stop this unsolicited VAS debit.",Billing & VAS,forced_subscription
C000120,"The app is so bad. I saw an offer of 36GB for #3,500 and I purchased it only for them to give me 24GB If you know you won't give us the amount of data you promised why put it there??",Mobile Data,abnormal_data_drain
C000121,"It's really frustrating,i can't see my balance on the app ,i can't send money out and i can't even load data or call card or even pay bills on the app,Pls work on the app pls,it's frustrating👎, but the SIM card is displaying 'No Service' since morning, I cannot call or browse.",Network Quality,total_outage
C000122,9mobile abeg fix ur internet for Benin. Since 2 days now we dey struggle with 2G/E speed.,Mobile Data,slow_internet
C000123,"The money sent in my account isn't showing in the balance since yesterday....your App is nice but right now the network is messing things up, then I received a suspicious phishing text claiming my bank account is blocked via this line.",Fraud,reported_scam
C000124,"This is a clown app doesn't function on 4g unless you have active data, doesn't show balance of minutes, other types of data as well. Improve future updates 🤦, but my phone has been showing 'Emergency Calls Only' and completely zero signal bars all day.",Network Quality,total_outage
C000125,"The previous app was better but this update makes it super slow and why don't you allow it to be connected to the internet its is a must someone purchase data to access the app, am very disappointed to the way its so slow to connect",Mobile Data,slow_internet
C000126,"I bought data using this app, i didnt receive the data and yet money was deducted. The customer services is very bad. I conplained ni response, then I received a suspicious phishing text claiming my bank account is blocked via this line.",Fraud,reported_scam
C000127,"It was working absolutely well until i woke up this morning trying to place order... And its stopped working.... When i try to open it , it says i should check my internet connection, but my internet connection is good if i try to open different apps... I feel disappointed... Please fix it for me🙏🙏, kindly unbar my SIM line, I have already updated my NIN credentials at your center.",SIM Services,sim_barred_nin
C000128,"🚨🚨🚨 I have been using OPay for more than 3 years. Someone ago I want a POS machine for my shop, I was connected to an agent which I believe works for them. My account was upgraded and I think in the process an unknown BVN to me was used.. I stopped using the account some months ago, when I couldn’t login. Yesterday night I mistakenly transferred 300000 to the account. Now I can’t access the account, I have my number and email which was registered on the Account",SIM Services,sim_barred_nin
C000129,This is the most useless app I've used.....i bought data from the app but my data balance is still empty...... not to talk of the OTP side you guy should work on your application please and my SIM was restricted with prompt to visit office for NIN biometric capture.,SIM Services,sim_barred_nin
C000130,The notifications bar ! Let it have a record of phone numbers too not only names of people who have been sent money 💰!,SIM Services,sim_barred_nin
